date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:33	21109/21109	---M--	200	added ('OK')	image/png	etag:%225275-621b7cae-af0dd95d9602e325;;;%22	https://oasisinfobyte.com/image/man%20(1).png	C:/My%20Web%20Sites/internship/oasisinfobyte.com/image/man%20(1).png	(from https://oasisinfobyte.com/)
17:16:33	31852/31852	---M--	200	added ('OK')	image/png	etag:%227c6c-621b7cb0-def726efd43dc8ce;;;%22	https://oasisinfobyte.com/image/profile%20(1).png	C:/My%20Web%20Sites/internship/oasisinfobyte.com/image/profile%20(1).png	(from https://oasisinfobyte.com/)
17:16:33	22718/22718	---M-Z	200	added ('OK')	image/svg+xml	etag:%2258be-621b7cae-2a689e7ff1adb6b6;gz%22	https://oasisinfobyte.com/image/Contact%20us-amico%20(2).svg	C:/My%20Web%20Sites/internship/oasisinfobyte.com/image/Contact%20us-amico%20(2).svg	(from https://oasisinfobyte.com/)
17:16:33	38290/38290	---M-Z	200	added ('OK')	image/svg+xml	etag:%229592-621b7cb0-2bfd70d1424991ac;gz%22	https://oasisinfobyte.com/image/FAQs-amico%20(1)%20(1).svg	C:/My%20Web%20Sites/internship/oasisinfobyte.com/image/FAQs-amico%20(1)%20(1).svg	(from https://oasisinfobyte.com/)
17:16:35	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:%225eb09ed3-15d84%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/My%20Web%20Sites/internship/cdnjs.cloudflare.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://oasisinfobyte.com/)
17:16:35	2219/2219	---M-Z	200	added ('OK')	application/javascript	etag:%228ab-621b7bf2-405bb94855497394;gz%22	https://oasisinfobyte.com/main.js	C:/My%20Web%20Sites/internship/oasisinfobyte.com/main.js	(from https://oasisinfobyte.com/)
17:16:35	51/51	---MCZ	302	error ('Found')	text/plain	date:Wed,%2004%20May%202022%2011:44:26%20GMT	https://unpkg.com/aos@next/dist/aos.js	C:/My%20Web%20Sites/internship/unpkg.com/aos@next/dist/aos.js	(from https://oasisinfobyte.com/)
17:16:35	13800/13800	---MCZ	200	added ('OK')	application/javascript	etag:%2235e8-44lQwbzmXp8EjjBbNWf/kKDJI+M%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.js	C:/My%20Web%20Sites/internship/unpkg.com/aos@3.0.0-beta.6/dist/aos.js	(from https://oasisinfobyte.com/)
17:16:36	93822/93822	---MCZ	200	added ('OK')	application/javascript	etag:W/%220fa9161a6771b42eed6f3662a401e6df%22	https://collectcdn.com/launcher.js	C:/My%20Web%20Sites/internship/collectcdn.com/launcher.js	(from https://oasisinfobyte.com/)
17:16:36	343/343	---M--	200	added ('OK')	image/png	etag:%22157-623748cd-4666dabfe7ee8240;;;%22	https://oasisinfobyte.com/nclose.png	C:/My%20Web%20Sites/internship/oasisinfobyte.com/nclose.png	(from https://oasisinfobyte.com/style.css)
17:16:37	4789/4789	---M--	200	added ('OK')	image/png	etag:%2212b5-621b7bfc-ec214486a52e743c;;;%22	https://oasisinfobyte.com/wave.png	C:/My%20Web%20Sites/internship/oasisinfobyte.com/wave.png	(from https://oasisinfobyte.com/style.css)
17:16:37	105136/105136	---M--	200	added ('OK')	image/gif	etag:%2219ab0-623749a6-b53d8517fd5bb562;;;%22	https://oasisinfobyte.com/preload%20_1_.gif	C:/My%20Web%20Sites/internship/oasisinfobyte.com/preload%20_1_.gif	(from https://oasisinfobyte.com/style.css)
17:16:40	586867/586867	---M--	200	added ('OK')	image/png	etag:%228f473-621b7cae-f973d8e8d77d464;;;%22	https://oasisinfobyte.com/image/footer-bg.png	C:/My%20Web%20Sites/internship/oasisinfobyte.com/image/footer-bg.png	(from https://oasisinfobyte.com/style.css)
